[Header]
DATATYPE,TIME,1
STARTUPAXIS, X, 1, LINEAR, AUTO
STARTUPAXIS, Y1, 4, LINEAR, AUTO
STARTUPAXIS, Y2, 2, LINEAR, AUTO
INFO,[Header]
INFO,DATATYPE,TIME,1
INFO,STARTUPAXIS, X, 1, LINEAR, AUTO
INFO,STARTUPAXIS, Y1, 4, LINEAR, AUTO
INFO,STARTUPAXIS, Y2, 2, LINEAR, AUTO
[Data]
Time (sec), Power (W), Resistance (Ohm), Temperature (K)
85.928395,0.0055921939,138.41634,131.27055
87.23034,0.0055923159,138.10408,131.5904
88.532286,0.0055924389,137.79706,131.90627
89.834231,0.0055925594,137.4968,132.21651
91.136176,0.0055926838,137.20245,132.52193
92.438122,0.0055928019,136.91367,132.82283
93.740067,0.005592923,136.63014,133.11945
95.042013,0.0055930464,136.35226,133.41133
96.343958,0.0055931563,136.07982,133.69864
97.645903,0.0055932744,135.81227,133.98188
98.947849,0.0055933858,135.54958,134.26105
100.24979,0.0055934995,135.29228,134.5355
101.55174,0.0055936051,135.03917,134.80649
102.85368,0.0055936951,134.79099,135.07317
104.15563,0.0055938031,134.54767,135.33556
105.45758,0.0055939057,134.30867,135.59419
106.75952,0.0055940088,134.07353,135.84952
108.06147,0.0055941129,133.8429,136.10082
109.36341,0.0055942117,133.61658,136.34824
110.66536,0.0055943162,133.39394,136.59245
111.9673,0.005594415,133.17523,136.83311
113.26925,0.0055945157,132.96045,137.07021
114.57119,0.0055946183,132.75017,137.30307
115.87314,0.005594718,132.54243,137.53381
117.17508,0.00559481,132.33891,137.76057
118.47703,0.0055949044,132.13884,137.98415
119.77897,0.0055949964,131.94183,138.20496
121.08092,0.0055950874,131.74904,138.42166
122.38287,0.005595177,131.55869,138.63624
123.68481,0.0055952622,131.37221,138.84704
124.98676,0.0055953537,131.18788,139.05598
126.2887,0.0055954442,131.00784,139.26062
127.59065,0.005595526,130.83006,139.46323
128.89259,0.0055956102,130.6557,139.66247
130.19454,0.0055956954,130.48357,139.85968
131.49648,0.0055957797,130.31482,140.0535
132.79843,0.0055958634,130.14868,140.24481
134.10037,0.0055959423,129.98575,140.43289
135.40232,0.0055960275,129.82436,140.61965
136.70426,0.0055961045,129.66634,140.80295
138.00621,0.0055961825,129.5106,140.98403
139.30816,0.0055962604,129.35764,141.16231
140.6101,0.0055963398,129.20729,141.33793
141.91205,0.0055964105,129.05901,141.51154
143.21399,0.0055964821,128.9131,141.68275
144.51594,0.0055965547,128.76974,141.85134
145.81788,0.0055966249,128.62831,142.01802
147.11983,0.0055967019,128.48979,142.18163
148.42177,0.0055967735,128.35263,142.34397
149.72372,0.0055968389,128.21788,142.50378
151.02566,0.0055969086,128.08546,142.66115
152.32761,0.0055969749,127.95524,142.81623
153.62955,0.0055970388,127.82628,142.97011
154.9315,0.0055971047,127.70007,143.12101
156.23345,0.0055971671,127.57563,143.27007
157.53539,0.0055972363,127.4528,143.41748
